"BehaviorSpace results (NetLogo 6.0.4)"
"as4.nlogo"
"experiment"
"01/06/2019 22:49:18:086 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","antenna-range","alpha","sensing-range","start_msg_tick","total-nodes","flooding","[step]","msg_reached_goal","number_of_msg_send","number_of_received"
"165","7","1.15","0.3","15","150","true","21","1","57","71"
"166","7","1.15","0.3","15","150","true","22","1","111","141"
"169","7","1.15","0.3","15","150","true","20","1","70","96"
"164","7","1.15","0.3","15","150","true","20","1","76","93"
"168","7","1.15","0.3","15","150","true","20","1","75","101"
"170","7","1.15","0.3","15","150","true","19","1","49","68"
"167","7","1.15","0.3","15","150","true","19","1","38","55"
"172","7","1.15","0.3","15","150","true","16","1","8","18"
"171","7","1.15","0.3","15","150","true","20","1","26","36"
"176","7","1.15","0.3","15","150","true","20","1","82","108"
"174","7","1.15","0.3","15","150","true","22","1","90","114"
"173","7","1.15","0.3","15","150","true","24","1","107","127"
"177","7","1.15","0.3","15","150","true","21","1","80","97"
"175","7","1.15","0.3","15","150","true","23","1","107","120"
"178","7","1.15","0.3","15","150","true","21","1","95","119"
"179","7","1.15","0.3","15","150","true","25","1","111","135"
"182","7","1.15","0.3","15","150","true","17","1","29","37"
"181","7","1.15","0.3","15","150","true","23","1","134","144"
"184","7","1.15","0.3","15","150","true","22","1","65","89"
"185","7","1.15","0.3","15","150","true","24","1","138","144"
"183","7","1.15","0.3","15","150","true","20","1","48","67"
"186","7","1.15","0.3","15","150","true","18","1","31","47"
"180","7","1.15","0.3","15","150","true","16","1","6","11"
"188","7","1.15","0.3","15","150","true","19","1","56","84"
"187","7","1.15","0.3","15","150","true","24","1","142","148"
"189","7","1.15","0.3","15","150","true","22","1","131","140"
"191","7","1.15","0.3","15","150","true","22","1","106","129"
"192","7","1.15","0.3","15","150","true","20","1","68","89"
"190","7","1.15","0.3","15","150","true","25","1","143","149"
"195","7","1.15","0.3","15","150","true","17","1","11","15"
"193","7","1.15","0.3","15","150","true","19","1","53","78"
"196","7","1.15","0.3","15","150","true","24","1","132","147"
"197","7","1.15","0.3","15","150","true","20","1","67","88"
"194","7","1.15","0.3","15","150","true","21","1","93","118"
"200","7","1.15","0.3","15","150","true","17","1","5","12"
"198","7","1.15","0.3","15","150","true","18","1","36","65"
"199","7","1.15","0.3","15","150","true","20","1","68","97"
"201","7","1.15","0.6","15","150","true","24","1","134","145"
"203","7","1.15","0.6","15","150","true","20","1","80","94"
"202","7","1.15","0.6","15","150","true","21","1","44","64"
"204","7","1.15","0.6","15","150","true","22","1","104","130"
"205","7","1.15","0.6","15","150","true","17","1","8","16"
"207","7","1.15","0.6","15","150","true","17","1","19","32"
"206","7","1.15","0.6","15","150","true","20","1","68","100"
"209","7","1.15","0.6","15","150","true","19","1","36","52"
"208","7","1.15","0.6","15","150","true","18","1","24","45"
"210","7","1.15","0.6","15","150","true","17","1","24","42"
"211","7","1.15","0.6","15","150","true","22","1","106","134"
"212","7","1.15","0.6","15","150","true","23","1","143","149"
"214","7","1.15","0.6","15","150","true","22","1","87","110"
"216","7","1.15","0.6","15","150","true","16","1","10","18"
"215","7","1.15","0.6","15","150","true","27","0","146","145"
"220","7","1.15","0.6","15","150","true","15","1","1","8"
"217","7","1.15","0.6","15","150","true","26","1","136","138"
"219","7","1.15","0.6","15","150","true","19","1","45","71"
"218","7","1.15","0.6","15","150","true","24","1","143","149"
"221","7","1.15","0.6","15","150","true","15","1","1","7"
"222","7","1.15","0.6","15","150","true","22","1","131","149"
"223","7","1.15","0.6","15","150","true","20","1","50","77"
"224","7","1.15","0.6","15","150","true","20","1","60","80"
"225","7","1.15","0.6","15","150","true","16","1","11","17"
"213","7","1.15","0.6","15","150","true","24","1","130","140"
"226","7","1.15","0.6","15","150","true","20","1","54","74"
"227","7","1.15","0.6","15","150","true","17","1","32","50"
"228","7","1.15","0.6","15","150","true","18","1","31","53"
"229","7","1.15","0.6","15","150","true","21","1","95","129"
"232","7","1.15","0.6","15","150","true","22","1","72","96"
