"BehaviorSpace results (NetLogo 6.0.4)"
"Übung04.nlogo"
"experiment"
"12/10/2018 14:18:36:871 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","antenna_dB","probing_range","relay-only","sensing_range","total_nodes","start-msg-tick","[step]","msg_reached_goal","number_of_msg_send","number_of_received"
"377","7","0.15","true","7","150","13","27","1","132","1199"
"379","7","0.15","true","7","150","13","25","1","133","1195"
"381","7","0.15","true","7","150","13","26","1","132","1219"
"380","7","0.15","true","7","150","13","28","1","131","1127"
"382","7","0.15","true","7","150","13","29","1","133","1201"
"383","7","0.15","true","7","150","13","27","1","138","1266"
"384","7","0.15","true","7","150","13","28","1","135","1193"
"385","7","0.15","true","7","150","13","27","1","138","1208"
"387","7","0.15","true","7","150","13","29","1","136","1168"
"388","7","0.15","true","7","150","13","27","1","137","1248"
"386","7","0.15","true","7","150","13","28","1","138","1207"
"389","7","0.15","true","7","150","13","27","1","135","1278"
"391","7","0.15","true","7","150","13","26","1","138","1150"
"390","7","0.15","true","7","150","13","27","1","136","1248"
"393","7","0.15","true","7","150","13","26","1","134","1155"
"392","7","0.15","true","7","150","13","26","1","134","1205"
"394","7","0.15","true","7","150","13","27","1","139","1170"
"395","7","0.15","true","7","150","13","26","1","137","1249"
"396","7","0.15","true","7","150","13","28","1","133","1155"
"398","7","0.15","true","7","150","13","27","1","137","1187"
"399","7","0.15","true","7","150","13","27","1","136","1233"
"397","7","0.15","true","7","150","13","30","1","129","1236"
"400","7","0.15","true","7","150","13","27","1","139","1252"
"401","7","0.2","true","7","150","13","28","1","121","1050"
"402","7","0.2","true","7","150","13","26","1","127","1190"
"404","7","0.2","true","7","150","13","26","1","133","1208"
"405","7","0.2","true","7","150","13","26","1","131","1221"
"403","7","0.2","true","7","150","13","27","1","128","1049"
"406","7","0.2","true","7","150","13","27","1","130","1173"
"407","7","0.2","true","7","150","13","28","1","126","1106"
"408","7","0.2","true","7","150","13","25","1","129","1090"
"410","7","0.2","true","7","150","13","27","1","126","1107"
"411","7","0.2","true","7","150","13","26","1","125","1142"
"412","7","0.2","true","7","150","13","29","1","126","1112"
"409","7","0.2","true","7","150","13","31","1","130","1109"
"414","7","0.2","true","7","150","13","27","1","134","1135"
"413","7","0.2","true","7","150","13","32","1","121","1106"
"415","7","0.2","true","7","150","13","27","1","132","1152"
"418","7","0.2","true","7","150","13","26","1","128","1235"
"416","7","0.2","true","7","150","13","27","1","128","1259"
"417","7","0.2","true","7","150","13","25","1","125","1057"
"419","7","0.2","true","7","150","13","27","1","133","1237"
"420","7","0.2","true","7","150","13","28","1","136","1297"
"422","7","0.2","true","7","150","13","27","1","129","1145"
"421","7","0.2","true","7","150","13","29","1","123","1065"
"423","7","0.2","true","7","150","13","14","0","1","2"
"424","7","0.2","true","7","150","13","27","1","129","1119"
"425","7","0.2","true","7","150","13","26","1","126","1159"
"427","7","0.2","true","7","150","13","28","1","130","1194"
"426","7","0.2","true","7","150","13","28","1","127","1215"
"429","7","0.2","true","7","150","13","26","1","131","1194"
"428","7","0.2","true","7","150","13","28","1","127","1044"
"430","7","0.2","true","7","150","13","26","1","121","993"
"431","7","0.2","true","7","150","13","27","1","121","1097"
"433","7","0.2","true","7","150","13","28","1","122","1111"
"432","7","0.2","true","7","150","13","27","1","128","1095"
"434","7","0.2","true","7","150","13","30","1","126","1138"
"437","7","0.2","true","7","150","13","27","1","125","1146"
"436","7","0.2","true","7","150","13","28","1","133","1150"
"435","7","0.2","true","7","150","13","27","1","127","1154"
"438","7","0.2","true","7","150","13","29","1","122","1115"
"440","7","0.2","true","7","150","13","25","1","127","1136"
"439","7","0.2","true","7","150","13","26","1","128","1136"
"441","7","0.2","true","7","150","13","27","1","130","1149"
"442","7","0.2","true","7","150","13","26","1","127","1109"
"443","7","0.2","true","7","150","13","27","1","124","1082"
"446","7","0.2","true","7","150","13","27","1","124","1070"
"444","7","0.2","true","7","150","13","28","1","123","1130"
"445","7","0.2","true","7","150","13","27","1","134","1150"
"447","7","0.2","true","7","150","13","26","1","124","1152"
"448","7","0.2","true","7","150","13","28","1","123","1089"
"450","7","0.2","true","7","150","13","28","1","129","1210"
"449","7","0.2","true","7","150","13","27","1","126","1112"
"451","7","0.2","true","7","150","13","27","1","128","1161"
"452","7","0.2","true","7","150","13","27","1","124","1153"
"454","7","0.2","true","7","150","13","28","1","126","1178"
"453","7","0.2","true","7","150","13","25","1","137","1230"
"455","7","0.2","true","7","150","13","27","0","125","1139"
"456","7","0.2","true","7","150","13","27","1","126","1109"
"457","7","0.2","true","7","150","13","26","1","131","1186"
"458","7","0.2","true","7","150","13","28","1","125","1204"
"460","7","0.2","true","7","150","13","27","1","122","1099"
"459","7","0.2","true","7","150","13","27","0","125","1067"
"461","7","0.2","true","7","150","13","28","1","130","1279"
"462","7","0.2","true","7","150","13","27","1","130","1162"
"464","7","0.2","true","7","150","13","27","1","119","1119"
"463","7","0.2","true","7","150","13","27","1","127","1121"
"465","7","0.2","true","7","150","13","25","1","124","1130"
"466","7","0.2","true","7","150","13","26","1","129","1125"
"469","7","0.2","true","7","150","13","28","1","127","1150"
"467","7","0.2","true","7","150","13","29","1","128","1108"
"468","7","0.2","true","7","150","13","30","1","128","1096"
"470","7","0.2","true","7","150","13","28","1","129","1194"
"471","7","0.2","true","7","150","13","27","1","123","1094"
"472","7","0.2","true","7","150","13","29","1","131","1152"
"473","7","0.2","true","7","150","13","27","1","128","1210"
"475","7","0.2","true","7","150","13","27","1","132","1284"
"474","7","0.2","true","7","150","13","30","1","124","1123"
"477","7","0.2","true","7","150","13","29","1","125","1200"
"476","7","0.2","true","7","150","13","27","1","121","1136"
"478","7","0.2","true","7","150","13","26","1","124","1112"
"481","7","0.2","true","7","150","13","25","1","123","1049"
"479","7","0.2","true","7","150","13","27","1","124","1075"
"480","7","0.2","true","7","150","13","28","0","119","1072"
"483","7","0.2","true","7","150","13","27","1","129","1159"
"482","7","0.2","true","7","150","13","26","1","133","1211"
"484","7","0.2","true","7","150","13","27","1","132","1184"
"485","7","0.2","true","7","150","13","27","1","130","1151"
"487","7","0.2","true","7","150","13","27","1","128","1098"
"486","7","0.2","true","7","150","13","27","1","122","1114"
"489","7","0.2","true","7","150","13","26","1","131","1114"
"490","7","0.2","true","7","150","13","26","1","127","1161"
"488","7","0.2","true","7","150","13","27","1","126","1209"
"492","7","0.2","true","7","150","13","27","1","131","1073"
"491","7","0.2","true","7","150","13","27","1","128","1193"
"493","7","0.2","true","7","150","13","27","1","123","1117"
"495","7","0.2","true","7","150","13","27","1","126","1140"
"496","7","0.2","true","7","150","13","27","1","129","1059"
"494","7","0.2","true","7","150","13","26","1","125","1133"
"497","7","0.2","true","7","150","13","26","1","123","1172"
"498","7","0.2","true","7","150","13","30","1","122","1089"
"499","7","0.2","true","7","150","13","28","1","129","1120"
"500","7","0.2","true","7","150","13","26","1","123","1085"
"501","7","0.25","true","7","150","13","27","1","120","1041"
"503","7","0.25","true","7","150","13","28","1","113","1003"
"502","7","0.25","true","7","150","13","28","1","113","1084"
"506","7","0.25","true","7","150","13","26","1","100","910"
"505","7","0.25","true","7","150","13","28","1","124","1110"
"504","7","0.25","true","7","150","13","28","1","119","1031"
